t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.17 08:29:19,4159.84,-966.404,5240.9,83.9971,30,
2021.04.17 08:29:20,4160.56,-958.801,5241.72,83.0313,30,
2021.04.17 08:29:21,4161.28,-951.197,5242.54,82.0419,30,
2021.04.17 08:29:22,4161.99,-943.592,5243.35,81.0388,30,
2021.04.17 08:29:23,4162.69,-935.986,5244.16,80.0281,30,
2021.04.17 08:29:24,4163.4,-928.378,5244.96,79.0142,30,
2021.04.17 08:29:25,4164.09,-920.769,5245.75,78,30,
2021.04.17 08:29:26,4164.78,-913.159,5246.54,76.9877,30,
2021.04.17 08:29:27,4165.46,-905.548,5247.31,75.9791,30,
2021.04.17 08:29:28,4166.14,-897.936,5248.09,74.9755,30,
2021.04.17 08:29:29,4166.82,-890.323,5248.85,73.9779,30,
2021.04.17 08:29:30,4167.49,-882.708,5249.61,72.9875,30,
2021.04.17 08:29:31,4168.15,-875.092,5250.36,72.0048,30,
2021.04.17 08:29:32,4168.81,-867.475,5251.11,71.0307,30,
2021.04.17 08:29:33,4169.46,-859.857,5251.84,70.0656,30,
2021.04.17 08:29:34,4170.1,-852.238,5252.57,69.1102,30,
2021.04.17 08:29:35,4170.75,-844.618,5253.3,68.1649,30,
2021.04.17 08:29:36,4171.38,-836.997,5254.02,67.2301,30,
2021.04.17 08:29:37,4172.01,-829.374,5254.73,66.3061,30,
2021.04.17 08:29:38,4172.64,-821.751,5255.43,65.3933,30,
2021.04.17 08:29:39,4173.26,-814.127,5256.13,64.4919,30,
2021.04.17 08:29:40,4173.87,-806.501,5256.82,63.6021,30,
2021.04.17 08:29:41,4174.48,-798.875,5257.5,62.7241,30,
2021.04.17 08:29:42,4175.09,-791.247,5258.18,61.858,30,
2021.04.17 08:29:43,4175.69,-783.618,5258.85,61.0041,30,
2021.04.17 08:29:44,4176.28,-775.989,5259.51,60.1623,30,
2021.04.17 08:29:45,4176.87,-768.358,5260.17,59.3328,30,
2021.04.17 08:29:46,4177.45,-760.727,5260.82,58.5156,30,
2021.04.17 08:29:47,4178.03,-753.094,5261.46,57.7108,30,
2021.04.17 08:29:48,4178.6,-745.46,5262.1,56.9182,30,
2021.04.17 08:29:49,4179.16,-737.826,5262.73,56.138,30,
2021.04.17 08:29:50,4179.72,-730.19,5263.35,55.37,30,
2021.04.17 08:29:51,4180.28,-722.554,5263.97,54.6143,30,
2021.04.17 08:29:52,4180.83,-714.917,5264.58,53.8707,30,
2021.04.17 08:29:53,4181.38,-707.278,5265.18,53.1392,30,
2021.04.17 08:29:54,4181.91,-699.639,5265.77,52.4197,30,
2021.04.17 08:29:55,4182.45,-691.999,5266.36,51.712,30,
2021.04.17 08:29:56,4182.98,-684.358,5266.94,51.0161,30,
2021.04.17 08:29:57,4183.5,-676.716,5267.52,50.3318,30,
2021.04.17 08:29:58,4184.02,-669.074,5268.09,49.659,30,
2021.04.17 08:29:59,4184.53,-661.43,5268.65,48.9976,30,
2021.04.17 08:30:00,4185.04,-653.786,5269.2,48.3474,30,
2021.04.17 08:30:01,4185.54,-646.141,5269.75,47.7082,30,
2021.04.17 08:30:02,4186.04,-638.495,5270.29,47.08,30,
2021.04.17 08:30:03,4186.53,-630.848,5270.83,46.4624,30,
2021.04.17 08:30:04,4187.01,-623.2,5271.35,45.8555,30,
2021.04.17 08:30:05,4187.49,-615.551,5271.88,45.2589,30,
2021.04.17 08:30:06,4187.97,-607.902,5272.39,44.6726,30,
2021.04.17 08:30:07,4188.44,-600.252,5272.9,44.0963,30,
2021.04.17 08:30:08,4188.9,-592.601,5273.4,43.5299,30,
2021.04.17 08:30:09,4189.36,-584.95,5273.89,42.9733,30,
2021.04.17 08:30:10,4189.81,-577.297,5274.38,42.4261,30,
2021.04.17 08:30:11,4190.26,-569.644,5274.86,41.8883,30,
2021.04.17 08:30:12,4190.7,-561.99,5275.33,41.3597,30,
2021.04.17 08:30:13,4191.14,-554.336,5275.8,40.8402,30,
2021.04.17 08:30:14,4191.57,-546.68,5276.26,40.3294,30,
2021.04.17 08:30:15,4192,-539.024,5276.71,39.8273,30,
2021.04.17 08:30:16,4192.42,-531.368,5277.15,39.3338,30,
2021.04.17 08:30:17,4192.84,-523.71,5277.59,38.8485,30,
2021.04.17 08:30:18,4193.25,-516.052,5278.03,38.3714,30,
2021.04.17 08:30:19,4193.65,-508.394,5278.45,37.9023,30,
2021.04.17 08:30:20,4194.05,-500.734,5278.87,37.441,30,
2021.04.17 08:30:21,4194.44,-493.074,5279.28,36.9874,30,
2021.04.17 08:30:22,4194.83,-485.414,5279.69,36.5414,30,
2021.04.17 08:30:23,4195.22,-477.752,5280.08,36.1026,30,
2021.04.17 08:30:24,4195.59,-470.091,5280.48,35.6711,30,
2021.04.17 08:30:25,4195.97,-462.428,5280.86,35.2466,30,
2021.04.17 08:30:26,4196.33,-454.765,5281.24,34.8291,30,
2021.04.17 08:30:27,4196.7,-447.101,5281.61,34.4183,30,
2021.04.17 08:30:28,4197.05,-439.437,5281.97,34.0141,30,
2021.04.17 08:30:29,4197.4,-431.772,5282.33,33.6163,30,
2021.04.17 08:30:30,4197.75,-424.107,5282.68,33.2249,30,
2021.04.17 08:30:31,4198.09,-416.441,5283.02,32.8398,30,
2021.04.17 08:30:32,4198.42,-408.775,5283.36,32.4606,30,
2021.04.17 08:30:33,4198.75,-401.108,5283.69,32.0875,30,
2021.04.17 08:30:34,4199.08,-393.44,5284.02,31.7201,30,
2021.04.17 08:30:35,4199.39,-385.772,5284.33,31.3584,30,
2021.04.17 08:30:36,4199.71,-378.104,5284.64,31.0023,30,
2021.04.17 08:30:37,4200.01,-370.435,5284.94,30.6516,30,
2021.04.17 08:30:38,4200.32,-362.765,5285.24,30.3063,30,
2021.04.17 08:30:39,4200.61,-355.096,5285.53,29.9662,30,
2021.04.17 08:30:40,4200.9,-347.425,5285.81,29.6291,30,
2021.04.17 08:30:41,4201.19,-339.754,5286.09,29.2252,30,
2021.04.17 08:30:43,4201.75,-324.411,5286.62,28.6829,30,
2021.04.17 08:30:45,4202.28,-309.067,5287.12,27.8978,30,
2021.04.17 08:30:50,4203.52,-270.699,5288.26,26.6909,30,
2021.04.17 08:30:57,4205.03,-216.969,5289.57,24.7533,30,
2021.04.17 08:31:10,4207.13,-117.151,5291.11,21.6028,30,
2021.04.17 08:31:35,4208.61,74.8588,5290.84,16.7044,30,
2021.04.17 08:32:24,4201.68,450.881,5277.94,9.97729,30,
2021.04.17 08:33:55,4154.46,1144.64,5210.7,2.13131,30,
2021.04.17 08:36:23,3983.71,2243.71,4983.2,-6.26706,30,
2021.04.17 08:40:02,3527.94,3745.77,4391.9,-15.607,30,
2021.04.17 08:45:11,2526.05,5455.6,3109.98,-26.8814,30,
2021.04.17 08:52:21,655.019,6701.75,738.689,-41.4319,30,
2021.04.17 09:02:26,-2126.34,5819.07,-2751.69,-61.1676,30,
2021.04.17 09:16:58,-4212.85,316.622,-5301.46,-89.1054,0,
2021.04.17 09:38:39,-661.802,-6698.12,-723.521,-48.9075,0,
2021.04.17 09:50:20,2505.53,-5380.19,3242.15,-25.2849,30,
2021.04.17 09:57:13,3762.82,-2944.84,4782.79,-9.48095,30,
2021.04.17 10:01:22,4139.37,-1128.87,5224.54,4.47363,30,
2021.04.17 10:03:32,4206.51,-135.707,5291.15,20.8451,30,
2021.04.17 10:04:00,4209.04,79.3326,5290.43,28.2664,30,
2021.04.17 10:04:04,4209.05,110.051,5289.89,29.3181,30,
2021.04.17 10:04:05,4209.04,117.73,5289.74,29.8372,30,
2021.04.17 10:04:06,4209.03,125.41,5289.58,30.1982,30,
2021.04.17 10:04:07,4209.01,133.089,5289.41,30.5423,30,
